0
나만 2호님 연기 잘한다 느낀게 아니었구나 무근본 상황극 끌고가는데 다 맞춰주고 받아치고 있음
 2호님의 깨알 디테일 
이런거 보니까 초6때 정성룡급 골 넣은 기억이  우리팀 박스 앞쪽으로 빠르게 굴러오는 공 있는 힘껏 차니까 엄청 큰 포물선으로  날아서 상대 골대 앞에서 원바운드로 상대 키퍼 키 넘겨서 윗그물 때리는 절묘한 골 
확실히 2호님 학창시절때 인기많았겠다 보인다
이 영상은 김진짜님의 경험을 바탕으로 만들어진 영상임을 알려드립니다
2호님 연기력 미쳤엌
진짜형 학창 시절은 스펙타클했구나
3호님 웃음소리는 약간 힐링 느낌 아무 생각 없이같이 김진짜를 즐길수 있게됨 
 세상 찌질한 표정 연기는 정말 탑티어가발만 썼다하면 정준하급 연기력 웃음소리도 똑같다 했더니 3호님였네요  최근 롱스가 빚어준 몸매 효과  갑분샤1 이정도면 신입교사 아닌 신입쏘위 
 이 시리즈는 좋아요를 안 누를 수가 없다 
영상에 나오신 세 분 다 연기 넘 잘하시고 하나하나 공감되서 너무 재밌게 봤습니다 
뮐러님 2호님 다 연기력 대박 역시 연출 진짜님 디렉이 
 아 진짜 웃기네  아니 근데 친구분 진짜 꾸준히 나오시네 인터뷰 한번 해야하는거 아닙니까
Snl에 나올법한 진짜님 연기력에 감탄하고 갑니당 
영상 보기 전인데 유형시리즈는 믿고 본다 
2호님 칸에 가셔도 될거 같은데완벽한 연기력
 축구 하자면서 농구공 들고있는 2호님 멋지다
진짜 3호님 웃음소리가 너무좋앜
진짜 너무 공감 농구하다가 인원없어서 끌려오는 애들 많음 
희극인의 삶을 살고 있는 진짜형
아  거를타선이 없네  진짜  웃었습니다 
진짜형  유쾌한거 씹인싸다
김진짜 유니버스 2호님이랑 같이 연기폭이 엄청 넓으시네요 배우 데뷔 가즈아 
 와신입 체육쌤 미쳤다걸어올 때 약간 뻣뻣한 거부터 너무 똑같앜
김진짜의 연기력의 스펙트럼은 어디까지인가  느므 명배우 
일진도 어울리고 찐따도 어울리고 범생이도 어울리는 천상배우 김진짜님
아 진짜 체육쌤 공감 수업시작후 10분뒤 나타나는거 
진짜님 복장에 따라 스타일이 이렇게 달라질 수가 있나요 
진따의 디테일한 연기와 퍼포먼스 그리고 복장 사소한 말투 행동 진짜 지렷다 아내분 일진연기에사 눈화장보거 엄청 웃엇넼진따는 진짜 못하는게 없는거같다 얼굴이 좀 못해도 귀여움 하는짓이
 잘 구현한 듯
1 체육축구시간은  1분 1초가 아쉬운데 이러면 똥줄 오지게 타들어가지
그냥 꽁트로 계속가자 형 이게 더 조회수 잘나온다
아니 이건 축구유형이 아니라 그냥 웃길려고 만든영상 이잖아요진따 덕분에 영상내내 웃고가요
 제일 공감가고 진짜님 욕하는거 진심
2호님 연기 욀케 잘해 진짜님 학창시절 선생님 연기 완전 공감이네요 
2호님 연기 왜케 잘하셔 
지금 고딩이라 이해가 쏙쏙 되서 더 웃기네 
1 보다가 진짜 개웃었네 
2호님 그냥 오랜만에 교복입고 학생연기해서 그냥 좋으신듯…
일진연기 왜이렇게 웃기냐
연기력진짜미쳤닼
2호님 이제 여주 매일나와야할것같은느낌
앜 겁나웃었네 이런거 많이 만들어주세요 
진짜 존나 공감되네 
자매들 유전자가 진짜  다들 미인 가족이셔
학창시절 진따님이 아니라 3호님이 먼저 호감있었다는 게 유튜브계 정설
아니 진짜 개웃기넼 계속 웃으면서 봤어요
신입체육쌤 진짜 미치겠닼
이런애들이 진짜 있어서 더 웃기넼
123호님을 보고 있자면 유전자가 얼마나 대단한건지 다시 한번 느낍니다
2호님이 짝이 없다는건 진짜 불가사의  연기력 만렙 
요즘엔 연기로 컨텐츠 만드는듯  너무잘하신다
 눈물연기 지린다 
1  연기같지 않아 너무 리얼해 개인적인 올해의 장면
긴말필요없이 그냥 웃기다 
아 진짜 존나 웃기네
2호님 연기 뭐얔 앞으로 자주 출연해주세요
2호님 3호님 웃는거 진짜 똑같넼
아 김진짜 연기 존나 리얼하게 잘해 
아니 진짜님 포함해서 모두 점점 연기가 느시는것 같아요 연기가 너무 리얼해서 12분동안 계속 웃으면서 보게만드시넼
2 3호님 얼굴만 똑같은게아니라 목소리도 똑같네개신기
농구공들고 축구하자는 게 킬포😂😂
앜진짜 이거 핵공감이다 진짜 
아 진짜 개웃겨 
아니 이 주제로 만든 영상은 많은데 진짜 이건 개고퀄이닼
금식연기 진짜 개킹받는다
연기 각본 대박  올해의 엔터테인먼트 대상
몸바쳐 연기해주신 2호님 감사합니닼
  공빼는거 추억돋네 축구하러 나가면 옷배리는게 일상이었는데 
전부다 공감되는거 밖에 없어 
과연 누가 처형이랑 일찐연기를 할수잇을까  역시 월클 김진따
체육선생 연기 개쩌네 
 진짜 공감 된다축구 좋아하지도 않는 친구가 끼면 그냥 니네 팀 가지라고함
경험해서 그런지 연기가 너무 자연스럽네 
날다람쥐 개공감  아파트에서 축구하면 저런 경우는 하루에 10번도 더 생김 
이형 연기 왜이리 잘해 
진짜 고퀄이다
너무웃곀진짴
고3 체육대회 때 개인당 2종목에 출전할 수 없다는 조항이 있었는데 축구 농구 둘다 저를 원해서 고민 엄청했었던 적이 떠오르네요축구로 정하고 농구 하는 애들한테 평생들어도 남을 만큼의 '배신자'라는 말을 들었네요그리고 경기하다가 창문을 보면 여학생들이 축구를 보고있었는데 일부러 의식하고 더 파이팅있게 했던 게 기억나네요
 2호님 은근히 솔로 어필하지마십쇼 설레입니다
3호님 만삭 이신데 추운날씨에 영상 찍으시라 수고하셨습니다  😄
2호님 연기력도 대단하지만 미모가 
갈수록 연기실력이 느시는군요  조만간 연기자로 데뷔하시려는 큰그림인건가
진짜 재밌다 
100일 전은 당연히 공부 안하지…수능 일주일 전에도 이거 보고 있는데
 아 너무 웃겨 
아씨 킬포 부분에 태그 걸려고 집중하면서 봤는데 죄다 킬포네  왜케 웃김  근데 2호님 진짜 연기 잘하시는 듯요 3호님 위기감 느끼실듯 하네요 
형 이런거 너무 좋아 이런 영상 많이 찍어줘
와 신입 체육  개 똑같다
한 번쯤은 다 겪어 본 것 같다
진짜 학교 다니다보면 꼭 축구할때 되지도 않는 폼 잡는 애들 있는데 그런 애들 드리블로 제끼거나 볼 뺏었을때가 젤 통쾌함 그런 애들 보통 수업 시간에도 민폐형인데 합법적인 복수 크크
 아진짜 웃기네 이러니 개콘이망하지 
인트로 보자마자 개터졌넼
2호님 연기 살아있네요 
연기 너무 재미져요  체육샘 기분나쁜날 축구 안시켜준거 추가좀여
2호님 진짜 점점 이뻐지시네 채널 업뎃을 안해서 얼굴 기억이 안나지만
아니근데 2호님 외모무엇유전자 진짜 아름답다특히 목소리 진짜 똑같아요
2호님을 뵌 것 만으로도 행복합니다
 지퍼 다 못올린거 킹받넼
포지션형 축구선수 이름형 ex OO동 반다이크  머리망가질까봐 헤딩 못하는 형 까지 있어야 완벽 
2호님 연기 넘 자연스러움 진짜님이 연기지도도 하나염 
이런거 넘흐 웃김 그리고 2호님 사랑합니다
아침부터 웃음 주셔서 감사드려요😭
학교를 바탕으로 한거는 언제 나오나 했는데 이제 나오는군여 
2호님 연기 왜케 잘해욬
진짜 김진따 시리즈 많이 만들어주세요
 2호님 깨알 엿날리기 
친구 분 역할 진짜 잘하신다그나저나 2호님 예쁘시고
항상 보기 좋습니다  사모님과 행복해 보이는 영상
2호님 연기력 디지네 예쁘신만큼 남자눈도 높으실듯
저번주에 학교에서 반대항전 축구를 했는데 경기 끝나고 다들 저보고 호나우지뉴라고 불러서 제가 잘했나 싶었는데 애들이 호나우지뉴 닮았다네요
 진짜 개미쳣닠
 말 잘 통하는 박보검이요
 이거 개공감
난 여기 자주 온다고 생각했는데여전히 2호님과 3호님을 구분 못하고 있다 쌍둥인줄 꽁트 재밌네요 연기를 잘하시고
아 진짜웃기다 
저 시금치 교복 어른 되고나서 봐도 디자이너의 머리속을 이해할 수 없다
 꼭 운동장에서 안하고 저런데서 하는 애들있음
2호기님 연기 왜이렇게 잘해 
일주일도 안남은 고3 선배님들 빠이팅 입니다저는 6일뒤 D-365 시작…으아아아여튼 화이팅 입니다
와 2호님 진짜 예쁘다
※이 영상은 김진짜님의 학교 생활을 100% 반영한 실화입니다※ 단 15번은 제외
교복이 제가 나온 학교네요 더 추억 돋음
 손모양 하이라이트 
0 아 김진짜님바지 안 잠기는 거 킬링포인트네요 공감하고 갑니다
2호님 연예인 인줄 알았네
간만에  꼬리표보네  2호님 미모님 무엇
학교 골키퍼 특징손으로 잡으면 안되는 공 잡고 골키퍼는 손 쓸 수 있는 거 아냐
나는 왜인지 보면서 웃을 수가 없었다   나에겐 다큐였 r 
여자애들 보고있는데서 축구하면 잘보이고싶어서 열심히하는건 공감이지
딱 한눈에 2호님인걸 알아봤다… 미인 인정합니다
6번 개공감
2호님 진짜 미모 미치셨다
일진님 2호님 일진연기 잘한다 
연기 왤케 잘하냐고 
아닠개웃겨
김꼰대랑 김범생이  웃기네 
체육 부장 미리 몸풀기  
1 이래서 사회에서 경력직을 원하는구나…
연기력이 다들 
 사투리 킹받네진짴
너무너무 잼나게 봤어요감사감사♥
그 와중에 바지 단추가 안잠겨 걸친거  개웃기네
농구러는 무조건 골키퍼지
애청자인 현직 체육교사입니다 꼰대 샘과 신입샘 웃으며 재밌게 잘봤습니다 처음 꼰대샘에서 일반화되는 느낌이 들어 기분이 나빴지만 뒤에 바로 안그런 케이스를 보여주셔서 불편한 마음이 줄었네요  보시는분들도  정말 열정적으로 열심히 교수학습하시는 젊은 체육교사들이많다는걸 알고 재미로 봐주세요
 아 개 웃기네 
2호님 3호님 웃음소리랑 환호소리 똑같아 
진따형 서울대였다는거 진짜 상상 안 된다
형 박정무한테 꼽주는거 너무 좋았어♡
이쯤되면 축구체널인지 개그체널인지 
자매여서 그런지 목소리 어쩜 저리 비슷할까용
개웃기다 
 팩트 김진짜는 서울대 출신이다 이거 보고 웃다가 현실 직시해버림
신입 체육교사는 진짜 소름 돋을정도로똑같음
내 초등학교 시절을 압축해서 보는 것 같다  특히 허수아비 😊
숨소리 왤캐웃기냐 
신입 체육은 짬찌소위랑 똑같넼
일진형 날다람쥐형  학교에 꼭있음
형 PTSD 자제좀요… 연기 너무 잘했
유형 하나하나 거를타선이 없네
3호님 진짜 고등학생처럼 보이고 연기 디테일이 좋으시네요그리고 정말 예쁘세요👍👍👍현 고3임
진짜 레전드 
김찐따 연기 정말 잘하심외모도 리얼리티 그자체네요
2호님 연기 잘하시네요 
2호님 3호님은 아무리 자매라지만 생긴 것도 닮았는데 목소리는 완전 똑같네요 
진짜 울 학교에서도 농구 하는데 데려다가 골퍼 시켰는데  그리고 여자애들 앞은 못참지 
2호님 진짜 아이린 닮았습니다외모만최근에 유튜브에서 본 여성중에 가장 아름다워요♥
슬픈연기 겁나 잘한다 그리고 이거 겁나 웃기다
 이때 중지 날리는거 킬포
 터졌다 
